Family,Identifier,Sort-As,Security Requirement,Assessment Objective,Potential Assessment Method and Objects: Examine,Potential Assessment Method and Objects: Interview,Potential Assessment Method and Objects: Test
System and Information Integrity,3.14.2,03.14.02.0,Provide protection from malicious code at designated locations within organizational systems. ,Determine if:,[SELECT FROM: System and information integrity policy; configuration management policy and procedures; procedures addressing malicious code protection; records of malicious code protection updates; malicious code protection mechanisms; security plan; system design documentation; system configuration settings and associated documentation; record of actions initiated by malicious code protection mechanisms in response to malicious code detection; scan results from malicious code protection mechanisms; system audit logs and records; other relevant documents or records].,"[SELECT FROM: System or network administrators; personnel with information security responsibilities; personnel installing, configuring, and maintaining the system; personnel with responsibility for malicious code protection; personnel with configuration management responsibility]. ","[SELECT FROM: Organizational processes for employing, updating, and configuring malicious code protection mechanisms; organizational process for addressing false positives and resulting potential impact; mechanisms supporting or implementing employing, updating, and configuring malicious code protection mechanisms; mechanisms supporting or implementing malicious code scanning and subsequent actions]."
System and Information Integrity,3.14.2[a],03.14.02.a,,designated locations for malicious code protection are identified.,,,
System and Information Integrity,3.14.2[b],03.14.02.b,,protection from malicious code at designated locations is provided.,,,
System and Information Integrity,3.14.3,03.14.03.0,Monitor system security alerts and advisories and take action in response. ,Determine if:,"[SELECT FROM: System and information integrity policy; procedures addressing security alerts, advisories, and directives; security plan; records of security alerts and advisories; other relevant documents or records]. ","[SELECT FROM: Personnel with security alert and advisory responsibilities; personnel implementing, operating, maintaining, and using the system; personnel, organizational elements, and external organizations to whom alerts, advisories, and directives are to be disseminated; system or network administrators; personnel with information security responsibilities]. ","[SELECT FROM: Organizational processes for defining, receiving, generating, disseminating, and complying with security alerts, advisories, and directives; mechanisms supporting or implementing definition, receipt, generation, and dissemination of security alerts, advisories, and directives; mechanisms supporting or implementing security directives].  "
System and Information Integrity,3.14.3[a],03.14.03.a,,response actions to system security alerts and advisories are identified.,,,
System and Information Integrity,3.14.3[b],03.14.03.b,,system security alerts and advisories are monitored.,,,
System and Information Integrity,3.14.3[c],03.14.03.c,,actions in response to system security alerts and advisories are taken.,,,
System and Information Integrity,3.14.4,03.14.04.0,Update malicious code protection mechanisms when new releases are available. ,Determine if malicious code protection mechanisms are updated when new releases are available.,[SELECT FROM: System and information integrity policy; configuration management policy and procedures; procedures addressing malicious code protection; malicious code protection mechanisms; records of malicious code protection updates; security plan; system design documentation; system configuration settings and associated documentation; scan results from malicious code protection mechanisms; record of actions initiated by malicious code protection mechanisms in response to malicious code detection; system audit logs and records; other relevant documents or records]. ,"[SELECT FROM: System or network administrators; personnel with information security responsibilities; personnel installing, configuring, and maintaining the system; personnel with responsibility for malicious code protection; personnel with configuration management responsibility]. ","[SELECT FROM: Organizational processes for employing, updating, and configuring malicious code protection mechanisms; organizational process for addressing false positives and resulting potential impact; mechanisms supporting or implementing malicious code protection mechanisms (including updates and configurations); mechanisms supporting or implementing malicious code scanning and subsequent actions]."
System and Information Integrity,3.14.5,03.14.05.0,"Perform periodic scans of organizational systems and real-time scans of files from external sources as files are downloaded, opened, or executed. ",Determine if:,[SELECT FROM: System and information integrity policy; configuration management policy and procedures; procedures addressing malicious code protection; malicious code protection mechanisms; records of malicious code protection updates; security plan; system design documentation; system configuration settings and associated documentation; scan results from malicious code protection mechanisms; record of actions initiated by malicious code protection mechanisms in response to malicious code detection; system audit logs and records; other relevant documents or records]. ,"[SELECT FROM: System or network administrators; personnel with information security responsibilities; personnel installing, configuring, and maintaining the system; personnel with responsibility for malicious code protection; personnel with configuration management responsibility]. ","[SELECT FROM: Organizational processes for employing, updating, and configuring malicious code protection mechanisms; organizational process for addressing false positives and resulting potential impact; mechanisms supporting or implementing malicious code protection mechanisms (including updates and configurations); mechanisms supporting or implementing malicious code scanning and subsequent actions]."
System and Information Integrity,3.14.5[a],03.14.05.a,,the frequency for malicious code scans is defined.,,,
System and Information Integrity,3.14.5[b],03.14.05.b,,malicious code scans are performed with the defined frequency.,,,
System and Information Integrity,3.14.5[c],03.14.05.c,,"real-time malicious code scans of files from external sources as files are downloaded, opened, or executed are performed.",,,
System and Information Integrity,3.14.6,03.14.06.0,"Monitor organizational systems, including inbound and outbound communications traffic, to detect attacks and indicators of potential attacks",Determine if:,[SELECT FROM:  System and information integrity policy; procedures addressing system monitoring tools and techniques; continuous monitoring strategy; system and information integrity policy; procedures addressing system monitoring tools and techniques; facility diagram or layout; security plan; system design documentation; system monitoring tools and techniques documentation; locations within system where monitoring devices are deployed; system protocols; system configuration settings and associated documentation; system audit logs and records; other relevant documents or records]. ,"[SELECT FROM: System or network administrators; personnel with information security responsibilities; personnel installing, configuring, and maintaining the system; personnel with responsibility monitoring the system; personnel with responsibility for the intrusion detection system]. ",[SELECT FROM: Organizational processes for system monitoring; mechanisms supporting or implementing intrusion detection capability and system monitoring; mechanisms supporting or implementing system monitoring capability; organizational processes for intrusion detection and system monitoring; mechanisms supporting or implementing the monitoring of inbound and outbound communications traffic].
System and Information Integrity,3.14.6[a],03.14.06.a,,the system is monitored to detect attacks and indicators of potential attacks.,,,
System and Information Integrity,3.14.6[b],03.14.06.b,,inbound communications traffic is monitored to detect attacks and indicators of potential attacks.,,,
System and Information Integrity,3.14.6[c],03.14.06.c,,outbound communications traffic is monitored to detect attacks and indicators of potential attacks.,,,
System and Information Integrity,3.14.7,03.14.07.0,Identify unauthorized use of organizational systems. ,Determine if:,[SELECT FROM: Continuous monitoring strategy; system and information integrity policy; procedures addressing system monitoring tools and techniques; facility diagram/layout; security plan; system design documentation; system monitoring tools and techniques documentation; locations within system where monitoring devices are deployed; system configuration settings and associated documentation; other relevant documents or records].,"[SELECT FROM: System or network administrators; personnel with information security responsibilities; personnel installing, configuring, and maintaining the system; personnel with responsibility for monitoring the system].",[SELECT FROM: Organizational processes for system monitoring; mechanisms supporting or implementing system monitoring capability].
System and Information Integrity,3.14.7[a],03.14.07.a,,authorized use of the system is defined.,,,
System and Information Integrity,3.14.7[b],03.14.07.b,,unauthorized use of the system is identified.,,,
