Family,Identifier,Sort-As,Security Requirement,Assessment Objective,Potential Assessment Method and Objects: Examine,Potential Assessment Method and Objects: Interview,Potential Assessment Method and Objects: Test
Physical Protection,3.10.5,03.10.05.0,Control and manage physical access devices. ,Determine if:,[SELECT FROM: Physical and environmental protection policy; procedures addressing physical access control; security plan; physical access control logs or records; inventory records of physical access control devices; system entry and exit points; records of key and lock combination changes; storage locations for physical access control devices; physical access control devices; list of security safeguards controlling access to designated publicly accessible areas within facility; other relevant documents or records]. ,[SELECT FROM: Personnel with physical access control responsibilities; personnel with information security responsibilities]. ,[SELECT FROM: Organizational processes for physical access control; mechanisms supporting or implementing physical access control; physical access control devices].
Physical Protection,3.10.5[a],03.10.05.a,,physical access devices are identified.  ,,,
Physical Protection,3.10.5[b],03.10.05.b,,physical access devices are controlled.  ,,,
Physical Protection,3.10.5[c],03.10.05.c,,physical access devices are managed.,,,
Physical Protection,3.10.6,03.10.06.0,Enforce safeguarding measures for CUI at alternate work sites. ,Determine if:,[SELECT FROM: Physical and environmental protection policy; procedures addressing alternate work sites for personnel; security plan; list of safeguards required for alternate work sites; assessments of safeguards at alternate work sites; other relevant documents or records]. ,[SELECT FROM: Personnel approving use of alternate work sites; personnel using alternate work sites; personnel assessing controls at alternate work sites; personnel with information security responsibilities]. ,[SELECT FROM: Organizational processes for security at alternate work sites; mechanisms supporting alternate work sites; safeguards employed at alternate work sites; means of communications between personnel at alternate work sites and security personnel].
Physical Protection,3.10.6[a],03.10.06.a,,safeguarding measures for CUI are defined for alternate work sites.,,,
Physical Protection,3.10.6[b],03.10.06.b,,safeguarding measures for CUI are enforced for alternate work sites.,,,
Risk Assessment,3.11.1,03.11.01.0,"Periodically assess the risk to organizational operations (including mission, functions, image, or reputation), organizational assets, and individuals, resulting from the operation of organizational systems and the associated processing, storage, or transmission of CUI",Determine if:,[SELECT FROM: Risk assessment policy; security planning policy and procedures; procedures addressing organizational risk assessments; security plan; risk assessment; risk assessment results; risk assessment reviews; risk assessment updates; other relevant documents or records]. ,[SELECT FROM: Personnel with risk assessment responsibilities; personnel with information security responsibilities]. ,"[SELECT FROM: Organizational processes for risk assessment; mechanisms supporting or for conducting, documenting, reviewing, disseminating, and updating the risk assessment].  "
Risk Assessment,3.11.1[a],03.11.01.a,,"the frequency to assess risk to organizational operations, organizational assets, and individuals is defined.",,,
Risk Assessment,3.11.1[b],03.11.01.b,,"risk to organizational operations, organizational assets, and individuals resulting from the operation of an organizational system that processes, stores, or transmits CUI is assessed with the defined frequency.",,,
Risk Assessment,3.11.2,03.11.02.0,Scan for vulnerabilities in organizational systems and applications periodically and when new vulnerabilities affecting those systems and applications are identified. ,Determine if:,[SELECT FROM: Risk assessment policy; procedures addressing vulnerability scanning; risk assessment; security plan; security assessment report; vulnerability scanning tools and associated configuration documentation; vulnerability scanning results; patch and vulnerability management records; other relevant documents or records]. ,"[SELECT FROM: Personnel with risk assessment, security assessment and vulnerability scanning responsibilities; personnel with vulnerability scan analysis and remediation responsibilities; personnel with information security responsibilities; system or network administrators]. ","[SELECT FROM: Organizational processes for vulnerability scanning, analysis, remediation, and information sharing; mechanisms supporting or implementing vulnerability scanning, analysis, remediation, and information sharing].  "
Risk Assessment,3.11.2[a],03.11.02.a,,"the frequency to scan for vulnerabilities in an organizational system and its applications that process, store, or transmit CUI is defined.",,,
Risk Assessment,3.11.2[b],03.11.02.b,,"vulnerability scans are performed in an organizational system that processes, stores, or transmits CUI with the defined frequency.",,,
Risk Assessment,3.11.2[c],03.11.02.c,,vulnerability scans are performed in an application that contains CUI with the defined frequency.,,,
Risk Assessment,3.11.2[d],03.11.02.d,,"vulnerability scans are performed in an organizational system that processes, stores, or transmits CUI when new vulnerabilities are identified.",,,
Risk Assessment,3.11.2[e],03.11.02.e,,vulnerability scans are performed in an application that contains CUI when new vulnerabilities are identified.,,,
Risk Assessment,3.11.3,03.11.03.0,Remediate vulnerabilities in accordance with risk assessments. ,Determine if:,[SELECT FROM: Risk assessment policy; procedures addressing vulnerability scanning; risk assessment; security plan; security assessment report; vulnerability scanning tools and associated configuration documentation; vulnerability scanning results; patch and vulnerability management records; other relevant documents or records]. ,"[SELECT FROM: Personnel with risk assessment, security assessment and vulnerability scanning responsibilities; personnel with vulnerability scan analysis responsibilities; personnel with vulnerability remediation responsibilities; personnel with information security responsibilities; system or network administrators]. ","[SELECT FROM: Organizational processes for vulnerability scanning, analysis, remediation, and information sharing; mechanisms supporting or implementing vulnerability scanning, analysis, remediation, and information sharing].  "
Risk Assessment,3.11.3[a],03.11.03.a,,vulnerabilities are identified.,,,
Risk Assessment,3.11.3[b],03.11.03.b,,vulnerabilities are remediated in accordance with risk assessments.,,,
Security Assessment,3.12.1,03.12.01.0,Periodically assess the security controls in organizational systems to determine if the controls are effective in their application. ,Determine if:,[SELECT FROM: Security assessment and authorization policy; procedures addressing security assessment planning; procedures addressing security assessments; security assessment plan; security plan; other relevant documents or records]. ,[SELECT FROM: Personnel with security assessment responsibilities; personnel with information security responsibilities]. ,"[SELECT FROM: Mechanisms supporting security assessment, security assessment plan development, and security assessment reporting]. "
Security Assessment,3.12.1[a],03.12.01.a,,the frequency of security control assessments is defined.,,,
